id_empleado,departamento,educacion,antiguedad_anios,edad,desempeno_pre,tratamiento,desempeno_post
E417,Comercial,Técnico,2.3,47.0,77.3,1,60.9
E418,Comercial,Universitario,3.3,31.0,65.1,1,56.4
E419,Operaciones,Técnico,2.4,44.0,65.2,1,57.9
E420,Servicio al Cliente,Universitario,3.2,41.0,84.1,1,76.5
E421,Servicio al Cliente,Técnico,3.3,38.0,79.3,1,66.9
E422,Comercial,Universitario,3.1,35.0,65.5,1,78.9
E423,Operaciones,Posgrado,6.0,37.0,100.0,1,75.2
E424,Comercial,Técnico,6.0,32.0,84.9,1,72.4
E425,Operaciones,Bachillerato,6.9,49.0,65.2,1,63.3
E426,Servicio al Cliente,Técnico,2.3,28.0,37.8,0,39.0
E427,Servicio al Cliente,Universitario,0.7,43.0,68.9,0,59.1
E428,Comercial,Técnico,6.8,46.0,65.7,0,58.2
E429,Comercial,Técnico,3.2,31.0,60.0,0,43.1
E430,Servicio al Cliente,Posgrado,6.3,43.0,64.1,1,63.2
E431,Servicio al Cliente,Universitario,2.0,35.0,68.4,0,63.4
E432,Servicio al Cliente,Posgrado,1.3,34.0,81.8,1,75.8
E433,Servicio al Cliente,Bachillerato,0.9,33.0,54.0,0,60.3
E434,Servicio al Cliente,Técnico,0.6,21.0,64.6,0,51.0
E435,Comercial,Posgrado,0.5,38.0,63.0,0,47.9
E436,Comercial,Técnico,3.4,46.0,57.8,0,34.3
E437,Servicio al Cliente,Universitario,12.4,28.0,78.3,1,66.6
E438,Comercial,Bachillerato,4.3,41.0,89.7,1,81.9
E439,Comercial,Técnico,2.9,33.0,74.7,0,65.3
E440,Comercial,Técnico,3.6,25.0,68.7,1,72.3
E441,Comercial,Técnico,7.1,42.0,65.4,1,61.6
E442,Comercial,Universitario,2.7,47.0,67.7,1,57.8
E443,Operaciones,Universitario,1.1,28.0,45.3,0,27.7
E444,Servicio al Cliente,Técnico,6.6,36.0,69.6,1,61.9
E445,Servicio al Cliente,Universitario,2.1,22.0,64.4,0,44.1
E446,Comercial,Técnico,3.3,34.0,73.4,1,64.7
E447,Operaciones,Técnico,1.1,38.0,77.3,1,59.3
E448,Comercial,Bachillerato,5.6,48.0,78.4,1,67.3
E449,Operaciones,Bachillerato,3.4,46.0,66.1,0,48.2
E450,Comercial,Bachillerato,1.8,47.0,60.2,1,63.3
E451,Operaciones,Universitario,2.3,30.0,59.3,0,39.3
E452,Comercial,Universitario,3.5,32.0,58.4,0,35.0
E453,Servicio al Cliente,Bachillerato,1.7,21.0,59.0,1,60.7
E454,Comercial,Universitario,3.9,28.0,66.6,1,71.5
E455,Servicio al Cliente,Universitario,4.8,22.0,54.2,1,57.1
E456,Comercial,Técnico,2.4,37.0,72.2,1,64.2
E457,Operaciones,Técnico,3.0,28.0,66.1,1,54.6
E458,Comercial,Universitario,10.0,25.0,63.0,1,56.8
E459,Comercial,Técnico,6.2,31.0,62.3,1,55.0
E460,Comercial,Universitario,4.4,25.0,78.6,1,61.5
E461,Servicio al Cliente,Posgrado,6.6,36.0,81.1,1,71.9
E462,Servicio al Cliente,Universitario,3.1,36.0,96.1,1,92.1
E463,Operaciones,Universitario,1.3,31.0,72.8,1,71.6
E464,Comercial,Universitario,2.5,28.0,58.9,1,57.6
E465,Comercial,Técnico,5.6,23.0,60.8,1,56.2
E466,Comercial,Universitario,0.7,38.0,70.2,1,56.8
E467,Servicio al Cliente,Técnico,3.7,36.0,77.6,1,76.8
E468,Comercial,Técnico,1.4,38.0,83.0,1,63.2
E469,Comercial,Técnico,1.3,32.0,55.5,1,37.6
E470,Comercial,Bachillerato,6.4,32.0,71.3,0,56.0
E471,Servicio al Cliente,Universitario,2.5,46.0,53.1,0,39.9
E472,Servicio al Cliente,Técnico,6.7,29.0,74.9,1,64.7
E473,Servicio al Cliente,Técnico,2.6,31.0,54.9,1,57.3
E474,Comercial,Bachillerato,1.4,40.0,83.6,1,77.5
E475,Operaciones,Técnico,8.1,36.0,62.1,0,54.2
E476,Operaciones,Técnico,6.0,20.0,77.1,1,76.5
E477,Servicio al Cliente,Universitario,3.5,20.0,69.6,0,46.3
E478,Comercial,Universitario,3.9,29.0,68.7,0,66.8
E479,Operaciones,Técnico,1.8,41.0,44.8,0,30.6
E480,Comercial,Técnico,5.9,39.0,68.6,1,64.6
E481,Operaciones,Universitario,2.6,38.0,55.3,1,65.6
E482,Comercial,Técnico,2.6,39.0,60.1,1,67.5
E483,Operaciones,Universitario,2.1,26.0,72.5,1,75.3
E484,Servicio al Cliente,Técnico,3.8,39.0,100.0,1,85.8
E485,Operaciones,Bachillerato,14.9,27.0,99.7,1,75.6
E486,Comercial,Universitario,3.3,42.0,73.8,1,58.9
E487,Servicio al Cliente,Universitario,3.6,30.0,72.5,1,63.2
E488,Servicio al Cliente,Bachillerato,1.5,36.0,62.0,1,52.7
E489,Servicio al Cliente,Bachillerato,2.7,20.0,55.1,0,39.3
E490,Servicio al Cliente,Bachillerato,3.8,23.0,73.4,1,64.4
E491,Operaciones,Bachillerato,4.2,43.0,63.0,1,53.8
E492,Servicio al Cliente,Técnico,1.2,40.0,87.0,1,72.6
E493,Operaciones,Universitario,8.7,24.0,97.7,0,76.9
E494,Servicio al Cliente,Técnico,4.3,44.0,94.1,1,74.6
E495,Comercial,Universitario,3.1,25.0,59.9,0,53.0
E496,Operaciones,Posgrado,3.1,34.0,61.4,1,63.7
E497,Comercial,Técnico,4.3,30.0,53.9,1,48.2
E498,Comercial,Universitario,8.4,27.0,79.5,1,70.7
E499,Operaciones,Técnico,1.9,43.0,56.3,1,63.9
E500,Servicio al Cliente,Universitario,8.0,47.0,64.2,1,64.8
E501,Comercial,Técnico,6.3,35.0,59.4,1,66.9
E502,Servicio al Cliente,Universitario,6.4,46.0,63.4,1,63.9
E503,Comercial,Bachillerato,0.9,32.0,85.6,1,82.4
E504,Comercial,Técnico,0.7,35.0,36.0,1,34.0
E505,Operaciones,Posgrado,9.9,35.0,79.2,0,62.2
E506,Comercial,Bachillerato,3.6,25.0,58.2,1,49.3
E507,Operaciones,Bachillerato,3.9,38.0,96.3,1,83.8
E508,Operaciones,Técnico,5.4,40.0,79.3,0,66.3
E509,Servicio al Cliente,Bachillerato,5.3,33.0,57.0,0,47.4
E510,Comercial,Universitario,4.2,20.0,61.0,1,46.3
E511,Operaciones,Universitario,4.9,37.0,62.1,1,52.0
E512,Comercial,Técnico,4.1,22.0,82.1,1,64.3
E513,Servicio al Cliente,Posgrado,1.5,28.0,86.5,1,78.1
E514,Comercial,Técnico,4.4,35.0,70.4,0,53.1
E515,Operaciones,Técnico,6.5,28.0,68.5,1,64.3
E516,Operaciones,Técnico,3.0,36.0,79.9,1,56.4
E517,Servicio al Cliente,Universitario,9.7,32.0,73.1,1,66.5
E518,Servicio al Cliente,Técnico,2.9,21.0,72.9,0,50.5
E519,Comercial,Universitario,3.2,35.0,70.2,1,68.6
E520,Comercial,Bachillerato,0.4,39.0,55.9,1,58.3
E521,Servicio al Cliente,Posgrado,2.2,42.0,83.1,1,77.2
E522,Comercial,Posgrado,4.2,31.0,61.3,0,55.6
E523,Operaciones,Técnico,2.1,34.0,89.9,0,76.1
E524,Operaciones,Universitario,2.7,22.0,81.3,1,68.4
E525,Comercial,Técnico,1.9,50.0,68.8,1,52.5
E526,Servicio al Cliente,Técnico,2.4,46.0,52.0,0,47.0
E527,Servicio al Cliente,Universitario,2.3,34.0,86.9,1,78.4
E528,Operaciones,Universitario,6.0,33.0,73.6,1,50.3
E529,Comercial,Universitario,4.6,20.0,79.4,1,58.5
E530,Comercial,Técnico,2.1,42.0,84.4,1,65.2
E531,Operaciones,Universitario,3.5,39.0,54.4,0,43.2
E532,Servicio al Cliente,Universitario,7.7,41.0,75.5,0,49.8
E533,Comercial,Técnico,1.1,31.0,61.4,0,53.6
E534,Operaciones,Universitario,4.7,30.0,72.6,0,53.9
E535,Operaciones,Técnico,3.0,24.0,72.9,1,76.5
E536,Servicio al Cliente,Bachillerato,0.4,40.0,45.4,1,48.0
E537,Operaciones,Técnico,2.7,44.0,64.4,0,50.4
E538,Operaciones,Técnico,3.0,43.0,68.5,1,65.3
E539,Comercial,Técnico,2.8,35.0,52.2,1,43.6
E540,Comercial,Universitario,6.4,31.0,61.3,1,67.1
E541,Servicio al Cliente,Técnico,1.5,26.0,67.7,1,69.1
E542,Servicio al Cliente,Técnico,1.3,28.0,74.3,1,68.5
E543,Servicio al Cliente,Universitario,1.9,38.0,64.8,0,65.1
E544,Servicio al Cliente,Técnico,7.0,32.0,62.2,0,39.4
E545,Comercial,Universitario,3.7,47.0,55.9,1,58.6
E546,Comercial,Universitario,2.6,43.0,62.8,1,66.5
E547,Comercial,Posgrado,4.7,29.0,59.2,1,58.9
E548,Servicio al Cliente,Bachillerato,5.2,24.0,76.3,0,59.1
E549,Comercial,Bachillerato,4.2,30.0,71.4,1,50.1
E550,Comercial,Universitario,5.0,43.0,61.2,1,64.5
E551,Servicio al Cliente,Universitario,0.7,30.0,68.3,1,59.2
E552,Servicio al Cliente,Técnico,1.3,38.0,94.0,1,81.0
E553,Operaciones,Bachillerato,4.4,29.0,77.5,1,76.0
E554,Servicio al Cliente,Universitario,1.4,37.0,69.2,0,61.8
E555,Servicio al Cliente,Universitario,4.9,38.0,77.5,1,61.0
E556,Servicio al Cliente,Posgrado,8.0,42.0,86.6,1,69.0
E557,Operaciones,Técnico,3.4,45.0,49.5,0,35.2
E558,Operaciones,Técnico,1.5,44.0,61.1,1,61.6
E559,Comercial,Universitario,3.7,30.0,60.6,1,64.0
E560,Comercial,Universitario,3.4,33.0,60.0,1,59.5
E561,Operaciones,Bachillerato,2.9,25.0,92.7,1,77.4
E562,Servicio al Cliente,Técnico,3.5,32.0,73.9,1,65.4
E563,Comercial,Posgrado,5.9,34.0,83.1,1,83.0
E564,Comercial,Técnico,5.1,31.0,72.7,1,57.7
E565,Comercial,Técnico,2.6,30.0,100.0,0,83.5
E566,Operaciones,Universitario,0.7,42.0,41.4,0,33.3
E567,Comercial,Técnico,0.7,41.0,59.7,1,59.2
E568,Comercial,Técnico,3.1,37.0,62.2,1,57.8
E569,Comercial,Universitario,1.2,24.0,61.8,0,56.6
E570,Servicio al Cliente,Técnico,0.6,36.0,76.5,0,64.1
E571,Servicio al Cliente,Posgrado,6.6,31.0,71.4,0,57.0
E572,Comercial,Universitario,1.7,45.0,74.2,1,82.5
E573,Servicio al Cliente,Técnico,2.0,20.0,79.1,1,79.1
E574,Operaciones,Bachillerato,5.0,30.0,71.7,1,66.7
E575,Operaciones,Técnico,4.7,29.0,77.5,0,66.6
E576,Servicio al Cliente,Universitario,0.7,30.0,60.3,1,57.0
E577,Comercial,Posgrado,1.9,42.0,58.8,0,42.3
E578,Comercial,Bachillerato,1.2,20.0,55.3,0,32.4
E579,Operaciones,Universitario,2.1,32.0,67.7,1,76.2
E580,Operaciones,Técnico,4.4,41.0,57.1,0,42.7
E581,Servicio al Cliente,Posgrado,11.4,42.0,61.3,0,53.1
E582,Servicio al Cliente,Universitario,1.8,30.0,74.3,1,75.6
E583,Servicio al Cliente,Bachillerato,2.7,29.0,56.0,1,49.9
E584,Servicio al Cliente,Técnico,3.9,37.0,74.9,1,65.2
E585,Comercial,Universitario,3.8,35.0,64.2,1,62.8
E586,Comercial,Universitario,7.1,35.0,63.7,1,62.5
E587,Servicio al Cliente,Posgrado,6.2,20.0,80.9,0,63.9
E588,Servicio al Cliente,Universitario,4.0,25.0,80.1,1,63.7
E589,Servicio al Cliente,Posgrado,6.7,27.0,72.9,1,74.7
E590,Comercial,Técnico,7.1,39.0,87.6,1,82.0
E591,Operaciones,Universitario,3.0,22.0,47.2,0,39.7
E592,Comercial,Bachillerato,5.6,26.0,82.5,1,78.5
E593,Servicio al Cliente,Técnico,5.3,33.0,59.6,0,25.0
E594,Servicio al Cliente,Técnico,5.4,24.0,66.5,0,53.3
E595,Comercial,Posgrado,1.8,39.0,70.7,1,61.1
E596,Servicio al Cliente,Técnico,2.0,31.0,58.3,1,41.0
E597,Comercial,Universitario,1.1,49.0,65.4,1,63.9
E598,Comercial,Técnico,4.3,29.0,63.3,1,51.6
E599,Comercial,Universitario,2.4,29.0,64.2,0,61.1
E600,Servicio al Cliente,Técnico,4.1,40.0,93.5,0,72.1
